Bin_Y,Counts
-7.5000,9
-7.0000,2658
-6.5000,16744
-6.0000,5760
-5.5000,143
-5.0000,1
-4.5000,0
-4.0000,0
-3.5000,0
-3.0000,9
-2.5000,268
-2.0000,3345
-1.5000,10025
-1.0000,8658
-0.5000,2343
0.0000,417
0.5000,2299
1.0000,8691
1.5000,10299
2.0000,3321
2.5000,272
3.0000,5
3.5000,0
4.0000,0
4.5000,0
5.0000,0
5.5000,149
6.0000,5667
6.5000,16339
7.0000,2715
7.5000,6
