Bin_Y,Counts
-7.5000,5
-7.0000,2602
-6.5000,16587
-6.0000,5756
-5.5000,131
-5.0000,0
-4.5000,0
-4.0000,0
-3.5000,0
-3.0000,3
-2.5000,308
-2.0000,3444
-1.5000,10220
-1.0000,8587
-0.5000,2329
0.0000,455
0.5000,2338
1.0000,8562
1.5000,10141
2.0000,3387
2.5000,269
3.0000,9
3.5000,0
4.0000,0
4.5000,0
5.0000,1
5.5000,154
6.0000,5741
6.5000,16375
7.0000,2622
7.5000,6
