Bin_Y,Counts
-7.5000,6
-7.0000,2645
-6.5000,16554
-6.0000,5741
-5.5000,155
-5.0000,0
-4.5000,0
-4.0000,0
-3.5000,0
-3.0000,5
-2.5000,272
-2.0000,3376
-1.5000,10185
-1.0000,8742
-0.5000,2214
0.0000,431
0.5000,2274
1.0000,8578
1.5000,10207
2.0000,3383
2.5000,311
3.0000,3
3.5000,0
4.0000,0
4.5000,0
5.0000,1
5.5000,144
6.0000,5658
6.5000,16557
7.0000,2671
7.5000,7
