Bin_Y,Counts
-7.5000,5
-7.0000,2631
-6.5000,16686
-6.0000,5715
-5.5000,140
-5.0000,0
-4.5000,0
-4.0000,0
-3.5000,0
-3.0000,6
-2.5000,287
-2.0000,3292
-1.5000,10329
-1.0000,8589
-0.5000,2306
0.0000,406
0.5000,2216
1.0000,8561
1.5000,10132
2.0000,3375
2.5000,276
3.0000,3
3.5000,0
4.0000,0
4.5000,0
5.0000,1
5.5000,141
6.0000,5662
6.5000,16546
7.0000,2727
7.5000,9
