Bin_Y,Counts
-7.5000,261
-7.0000,5632
-6.5000,10734
-6.0000,6858
-5.5000,1304
-5.0000,52
-4.5000,0
-4.0000,0
-3.5000,1
-3.0000,197
-2.5000,1771
-2.0000,4671
-1.5000,6458
-1.0000,6302
-0.5000,4350
0.0000,2963
0.5000,4243
1.0000,6162
1.5000,6392
2.0000,4597
2.5000,1657
3.0000,226
3.5000,6
4.0000,0
4.5000,0
5.0000,50
5.5000,1277
6.0000,6956
6.5000,10937
7.0000,5720
7.5000,240
