Bin_Y,Counts
-7.5000,6
-7.0000,2589
-6.5000,16321
-6.0000,5875
-5.5000,143
-5.0000,0
-4.5000,0
-4.0000,0
-3.5000,0
-3.0000,3
-2.5000,283
-2.0000,3452
-1.5000,10223
-1.0000,8552
-0.5000,2271
0.0000,414
0.5000,2250
1.0000,8646
1.5000,10424
2.0000,3333
2.5000,264
3.0000,7
3.5000,0
4.0000,0
4.5000,0
5.0000,0
5.5000,140
6.0000,5602
6.5000,16689
7.0000,2632
7.5000,6
